2025.11.07 19:07:54 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/parsers_2.12/4.13.4/parsers_2.12-4.13.4.pom
2025.11.07 19:07:54 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-ivy_2.12/1.10.4/librarymanagement-ivy_2.12-1.10.4.pom
2025.11.07 19:07:54 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/parsers_2.12/4.13.4/parsers_2.12-4.13.4.pom.sha1
2025.11.07 19:07:54 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/com-microsoft-java-debug-core/0.34.0+36/com-microsoft-java-debug-core-0.34.0+36.pom
2025.11.07 19:07:54 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-ivy_2.12/1.10.4/librarymanagement-ivy_2.12-1.10.4.pom.sha1
2025.11.07 19:07:54 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/test-agent/1.10.11/test-agent-1.10.11.pom
2025.11.07 19:07:54 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/test-agent/1.10.11/test-agent-1.10.11.pom.sha1
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scalameta/parsers_2.12/4.13.4/parsers_2.12-4.13.4.pom.sha1
2025.11.07 19:07:55 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scalameta/parsers_2.12/4.13.4/parsers_2.12-4.13.4.pom
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/test-agent/1.10.11/test-agent-1.10.11.pom.sha1
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/org/scala-sbt/librarymanagement-ivy_2.12/1.10.4/librarymanagement-ivy_2.12-1.10.4.pom.sha1
2025.11.07 19:07:55 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-sbt/librarymanagement-ivy_2.12/1.10.4/librarymanagement-ivy_2.12-1.10.4.pom
2025.11.07 19:07:55 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-sbt/test-agent/1.10.11/test-agent-1.10.11.pom
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/com-microsoft-java-debug-core/0.34.0+36/com-microsoft-java-debug-core-0.34.0+36.pom
2025.11.07 19:07:55 INFO  BSP server: Downloading https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/com-microsoft-java-debug-core/0.34.0+36/com-microsoft-java-debug-core-0.34.0+36.pom.sha1
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scala-sbt/test-agent/1.10.11/test-agent-1.10.11.pom
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scalameta/parsers_2.12/4.13.4/parsers_2.12-4.13.4.pom
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scala-sbt/librarymanagement-ivy_2.12/1.10.4/librarymanagement-ivy_2.12-1.10.4.pom
2025.11.07 19:07:55 INFO  BSP server: Downloaded https://s01.oss.sonatype.org/content/repositories/snapshots/ch/epfl/scala/com-microsoft-java-debug-core/0.34.0+36/com-microsoft-java-debug-core-0.34.0+36.pom.sha1
2025.11.07 19:07:55 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/epfl/scala/com-microsoft-java-debug-core/0.34.0+36/com-microsoft-java-debug-core-0.34.0+36.pom
2025.11.07 19:07:56 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/epfl/scala/com-microsoft-java-debug-core/0.34.0+36/com-microsoft-java-debug-core-0.34.0+36.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/com/google/code/gson/gson/2.13.0/gson-2.13.0.pom
2025.11.07 19:07:56 INFO  BSP server: Downloading https://oss.sonatype.org/content/repositories/snapshots/org/scalameta/trees_2.12/4.13.4/trees_2.12-4.13.4.pom
